mu,ar1,ma1,omega,alpha1,beta1,shape,tick,ar2,ma2,ma3,gamma1,beta2,ar3,alpha2,gamma2,skew,eta11,eta21,ar4,label
0.001719991918575,0.814443132038579,-0.879065466552759,2.02065401739385e-08,1.15855025979123e-08,0.998999846584945,6.37211951537917,AMZN,,,,,,,,,,,,,2013
0.00158701592432557,-0.0186298030009833,,2.45637125389447e-07,0.0217523153410102,0.913140268160316,4.27986292440313,ANSS,,,,-0.0485565635352532,,,0.0202362681079595,0.114395188420667,,,,,2013
0.00156943651204085,-0.0195228286376997,,9.87444875596713e-08,5.02976339887685e-08,0.998999884441878,5.28996503367462,AON,,,,,,,,,,,,,2013
0.00231246974604996,-0.801824467471504,0.759932880589211,5.6585858549565e-08,1.02053558297437e-08,0.998999979007673,4.51395677631845,AOS,,,,,,,,,,,,,2013
0.000471859829160744,,,4.30468872226929e-13,1.61774332101965e-05,0.997936680393373,5.60276290071942,APA,,,,,,,,,,,,,2013
0.0011868870870516,-0.127545148039413,,3.5805007201211e-07,4.38816363525267e-07,0.998975335464651,3.67549633355462,APD,,,,,,,,,,,,,2013
0.00172542668001481,-0.102198981860463,,5.59318650499451e-06,0.0290449319403772,0.946213980145567,2.94225640860349,APH,,,,,,,,,,,,,2013
0.00223889564120099,0.860268884645107,-0.895806441440529,9.67727303950268e-08,0.132242081603155,0.298200652418601,4.40102090415568,APTV,-0.0989832820338759,,,,,,,,,0.999590142489104,0.00077386631071731,,2013
0.000164219530485577,,,2.54735857245527e-06,0.0774387742080412,0.921167738253069,3.913598348189,ARE,,,,,,,,,,,,,2013
0.00112077923234242,0.112924091864223,,9.07045378365847e-15,0.000213164155548476,0.836035930639692,19.8664458289761,ATO,,,,0.162333651131202,0.172581392098571,,0.000175391297816398,-0.182546743991833,,,,,2013
0.0013490499910893,,,1.58492137407242e-07,1.21252478826878e-09,0.998999885979607,3.69127136393997,ATVI,,,,,,,,,,,,,2013
-0.000394150339573569,,,9.69295715025493e-07,0.000299890266924541,0.999929257238693,5.28246582234333,AVB,,,,0.18542964133297,,,0.00149402301138354,-0.202871924168336,,,,,2013
0.00146106800296043,,,0.000253055498504185,0.0933551371712931,5.07124444643586e-15,3.88064191772332,AVGO,,,,0.0783224427758811,0.169626667059662,,,,0.891538336507097,,,,2013
0.00114471015649678,,,9.24800754257958e-08,3.49627254705724e-09,0.998999935459712,4.4606978263797,AVY,,,,,,,,,,,,,2013
0.000728052288924978,-0.0258553427752905,,4.6278519599205e-06,0.0241335277141441,0.925288878584389,6.93243546529034,AWK,,,,,,,,,,,,,2013
0.000711370585540851,,,0.000245230086946593,0.498815902041328,0.469548212514867,2.93304090648539,AXON,,,,,,,,,,,,,2013
0.0018327345255455,-0.0760718908570965,,1.21176868387361e-07,4.15033496864163e-08,0.998999830815888,6.07961896514405,AXP,,,,,,,,,,,,,2013
0.00103730337996857,,-0.151764037573297,1.05090902432039e-12,0.00213250555990258,0.996360730777273,9.23141868105592,AZO,,,,,,,,,,,,,2013
0.00249183084035702,-0.1489230301024,,1.03264957345813e-07,0.0121022430937868,0.875339475700736,7.84954646913169,BA,,,,,,,,,,0.999388031513274,0.00103986750563768,,2013
0.000764457184685772,0.0137305347534149,,1.03502226634506e-12,0.0141203301569214,0.982687426358652,6.00851015710283,BAC,,,,,,,,,,,,,2013
0.000811157126688408,-0.0403417144352572,,5.17311810388337e-08,5.59487276521633e-08,0.998999860550297,6.44258874359808,BALL,,,,,,,,,,,,,2013
0.000395478455937849,,,5.40610812643997e-08,9.32819037476321e-10,0.998999947291743,5.07897590624607,BAX,,,,,,,,,,,,,2013
0.00110518527929272,0.0529085766951479,,1.05809680110224e-07,4.71244337510803e-13,2.27836516688821e-06,5.71021310090447,BBWI,-0.105362158077458,,,,0.996641239830713,0.178696288726544,0.0023563381540404,,0.937585206743134,,,-0.115820693717544,2013
0.00347509005964973,,,4.55508699146486e-13,1.48704751849551e-05,0.998155487850857,4.29621053403805,BBY,,,,,,,,,,,,,2013
0.00146216802431544,0.0237393577434648,,7.28366028892282e-08,9.57525717479368e-10,0.998999994940749,8.35541318101904,BDX,,,,,,,,,,,,,2013
0.00211547772056955,-0.0509298801317326,,4.14903251643691e-05,0.113284590492569,0.679921865271884,7.97722747726496,BEN,,,,,,,,,,,,,2013
0.000872825143299927,-0.104096231646527,,6.86020646189168e-15,0.00362824502975718,0.993137257090137,3.77884925046402,BG,,,,,,,,,,,,,2013
0.0022577825741976,,,6.67128219187091e-05,0.132728825023205,0.719438321594521,4.80747852273459,BIIB,,,,,,,,,,,,,2013
