mu,omega,alpha1,beta1,gamma1,skew,shape,tick,ar1,ma1,ma2,alpha2,beta2,ar2,ar3,ar4,ar5,ma3,gamma2,eta11,eta21,ar6,ma4,ar7,ar8
2.50194244709264e-05,5.87551496576925e-06,0.040585702872822,0.919662281998108,,0.755465579992053,6.78398576840571,AEP,,,,,,,,,,,,,,,,,
-0.000303699593265922,1.86686366286326e-05,0.0665671815665319,0.877570700115183,,,8.52397886914331,AES,,,,,,,,,,,,,,,,,
0.000344763356237977,1.52420663306793e-05,0.00579091241688622,0.757733364727136,0.21634397619619,,5.31871173611639,AFL,,,,,,,,,,,,,,,,,
0.000393178027458314,2.64766782291765e-05,0.00495399366103983,0.689269983151775,0.365602376872962,,4.43757151484992,AIG,,,,,,,,,,,,,,,,,
0.000978701740568062,7.82817465965985e-05,4.76275019527234e-08,1.39303270371034e-09,,0.953352927366322,3.91109878645193,AIZ,,,,0.137658603519059,0.460225495867268,,,,,,,,,,,,
0.000402875913129659,2.82517943201862e-05,0.256878035161566,0.4793677523722,,,8.47067691600227,AJG,,,,,,,,,,,,,,,,,
0.000856578754813843,0.000165177371135342,0.321415733738054,0.383484769906607,,,3.19061308937973,AKAM,,,,,,,,,,,,,,,,,
0.00114767908775262,7.36590567723481e-05,0.109964376697027,0.733197695114642,,,3.79965021628774,ALB,,,,,,,,,,,,,,,,,
0.00162205007821647,1.5805130468525e-07,1.70403681970131e-09,0.998999951312387,,,3.43430621693177,ALGN,1.61939701564534,-1.71029708437218,1.00219903991042,,,-0.895406772142053,-0.00445871730386344,-0.0544044872721309,0.00599575448259177,,,,,,,,
0.00108607083570467,2.60863642358859e-07,2.59965401874271e-09,0.998999994995233,,,6.732757877324,ALK,,,,,,,,,,,,,,,,,
0.000485724582460727,2.36372683395643e-07,0.012798635072111,0.982075973045863,,,4.62096374413125,ALL,,,,,,,,,,,,,,,,,
0.000505743793469079,2.05737834887548e-05,0.135649713619306,0.758658223669157,,,5.32539884049879,ALLE,,,,,,,,,,,,,,,,,
-0.000428683551641926,0.000204175444102426,0.0676503769126156,0.588410198516673,0.0439924814378998,,5.3742524671334,ALXN,,-0.080480094412248,,,,,,,,,,,,,,,
0.000747310915094625,6.79747646609682e-05,1.39289275752341e-09,0.697082034585851,0.212555855769085,,4.21034175221155,AMAT,0.0576164884407703,,,,,,,,,,,,,,,,
0.00185783514633137,0.000682796490027324,0.526047832275817,0.0420707579200804,,,3.51903246972482,AMD,-0.867960145655693,0.816732138816167,,,0.201034506969862,,,,,,,,,,,,
0.000287527952675934,5.19498731530615e-05,0.171635813553704,0.530869639121981,,,6.43711028222982,AME,,,,,,,,,,,,,,,,,
-0.000162376713990636,1.44054457464712e-05,4.08765359174472e-07,0.84601086642915,0.22911373043493,,4.64789359400911,AMGN,,,,,,,,,,,,,,,,,
-0.000586749041968836,3.65419854595564e-05,0.0227715013702969,0.726025048108403,0.289092278895739,,5.48691267667122,AMP,,,,,,,,,,,,,,,,,
0.000618735625283146,1.22661368372575e-05,0.0821628958255774,0.84679052965882,,,5.96296338964918,AMT,,,,,,,,,,,,,,,,,
0.000733189232953346,2.10637242500336e-05,0.00869285088990813,0.825112182968119,0.306498546914652,,3.78757534391011,AMZN,,,,,,,,,,,,,,,,,
0.0017157431085472,6.83025437502183e-06,0.0437173744953572,0.94889859337314,,,3.52299135072124,ANET,,,,,,,,,,,,,,,,,
0.000304619732782884,2.86174953449876e-05,0.10114229223995,0.730179595257099,,0.837298154041421,4.37712383141829,ANSS,0.896695372021888,-0.963389469074136,,,,,,,,,,,,,,,
0.000343107614823784,0.00013164477943362,0.239860566831039,0.25813507187961,,,8.65015687241569,ANTM,,,,,,,,,,,,,,,,,
0.000563101410712853,3.18028045305549e-05,0.195814364546092,0.592461205265063,,,4.16254320990279,AON,,,,,,,,,,,,,,,,,
0.00152659797206789,0.000279135223155267,0.319495873262781,1.91543966750265e-11,,,2.91852997587482,AOS,,,,,,,,,,,,,,,,,
-0.00125729074819145,3.79656279192349e-06,1.85059456009752e-08,0.956737560431085,0.0845248178825015,,5.95860552545238,APA,,,,,,,,,,,,,,,,,
0.000319634463102514,2.69979005859442e-05,0.196749728559289,0.671604302583818,,,4.04913018369245,APD,,,,,,,,,,,,,,,,,
0.000625012949014647,8.44516636325918e-06,0.01163266413642,0.858574077979383,0.144601560334693,,5.22835423126298,APH,0.665398268355436,-0.70421703104313,0.599051629965462,,,-0.598118267783222,,,,-0.0840579148279949,,,,,,,
0.000534828499259094,8.24916116003136e-06,2.06719557988918e-07,0.941094634739313,0.0743153191755917,,3.75051250197023,APTV,,,,,,,,,,,,,,,,,
0.000586682651738734,1.71902116598604e-05,0.0582301292136684,0.839580268895111,,0.799270204091621,8.74459009223785,ARE,,,,,,,,,,,,,,,,,
0.000836036171931837,3.23219715457093e-06,0.0201427422396322,0.958316680572267,,,4.754765104294,ATO,,-0.103241949383467,,,,,,,,,,,,,,,
0.00102505267364603,3.25624077658853e-05,1.88512904262938e-08,0.798095796197795,0.224909301858256,,4.85772985314987,ATVI,,,,,,,,,,,,,,,,,
0.000224590637843625,3.79706773465865e-05,1.03924136911788e-13,0.624831234887347,0.229606980894592,0.777532442681494,13.3968762310923,AVB,,,,,,,,,,,,,,,,,
0.000179900439815624,7.53628359790997e-06,6.4463324712155e-08,0.929499012808188,0.139000864007819,,4.53097520655139,AVGO,,,,,,,,,,,,,,,,,
