mu,ar1,ar2,ar3,ma1,ma2,ma3,omega,alpha1,beta1,gamma1,skew,shape,tick,ma4,ma5,eta11,eta21,ar4,ar5,ar6,ar7,alpha2,beta2,gamma2,ar8,ar9
0.000363229813702177,-0.373547430027837,0.297151413024569,0.977778741851082,0.368348474634559,-0.317890194594739,-1.01134755024345,9.77164048077251e-06,2.15433291621754e-08,0.801610650093526,,,11.613763806062,AMT,,,,,,,,,0.197389329752529,,,,
0.000120460015297595,,,,,,,4.66717089552457e-05,0.0239524199049167,0.105039527219957,0.282267010872623,,3.69560965938972,AMZN,,,,,,,,,,0.728874516123747,,,
0.000322167774878161,,,,,,,3.70491388117986e-05,0.110883651329161,0.894518853058967,0.309506400289348,,3.05981831559995,ANSS,,,,,,,,,0.0538039104736061,,-0.429919230902731,,
0.000354668728199522,,,,-0.109627205411752,,,5.98781781747086e-06,7.52098592650091e-08,0.916106506625783,0.151861383211969,,6.36423317460624,AON,,,,,,,,,,,,,
0.000374542620574959,,,,,,,4.08838463265358e-06,0.0721271546551654,0.926872841832875,,,4.88762860334866,AOS,,,,,,,,,,,,,
0.00174222300511654,-0.570547432593352,-0.0474084076106947,,0.496265321851625,,,5.47946931258221e-06,0.111830301488682,0.887169698724393,,,41.2056497667267,APA,,,,,,,,,,,,,
0.000589713063256439,-0.757831873596333,0.05607178141284,-0.0598891400636296,0.659055966201429,-0.173822403152501,,1.23441357919977e-05,0.0356818543275089,0.853018180284371,0.190364813734815,,5.33203532263698,APD,,,,,-0.0494457132406767,-0.080508888512703,,,,,,,
0.000306262328772272,,,,,,,0.00011471025912164,0.00218688041805132,0.571750394243303,,,3.23208313660317,APH,,,,,,,,,0.396091897301761,,,,
0.00032686798067158,,,,-0.109041403347323,,,1.24850843435316e-05,0.15946600313131,0.839533870144013,,,9.08422445146961,ARE,,,,,,,,,,,,,
-0.000338182551692958,-0.995346636121928,,,0.977906031469234,-0.0760338152932415,-0.056461028584904,1.02801246519391e-05,0.118490760294668,0.841035035715746,,,4.7395345338304,ATO,,,,,,,,,,,,,
0.000678465282748369,-0.946156442219616,-0.941738299674528,-0.0682532648838204,0.872898198302365,0.857604501259091,,1.60525238766883e-05,0.0823996411938643,0.915504827368436,,,3.03728152192583,ATVI,,,,,-0.0082781999937869,0.0121919043726823,0.013137216117455,0.0612055414680066,,,,,
