mu,ar1,ma1,omega,alpha1,beta1,skew,shape,tick,ar2,ma2,eta11,eta21,alpha2,beta2,ar3,ar4,gamma1,ma3,gamma2,ar5,ma4,label
0.000889911000772358,-0.0911065577112623,,2.07257930602801e-05,0.20067370277885,0.673817945518355,,3.35198289924061,APD,0.0397522822675812,,,,,,0.0428687031463172,0.099959699206745,,,,,,2016
0.00132714264018696,0.0634963887527791,-0.0208637870286905,7.98025511686164e-06,0.120819541838563,0.807923511900608,,5.00708153322083,APH,,,,,,,,,,,,,,2016
-3.58397336407241e-05,,,5.96614948177483e-05,0.0717275218104848,0.801223224446844,,3.99877139853971,APTV,,,,,,,,,,,,,,2016
0.00182184271376255,,,0.000144482384659842,0.0268383811330659,1.62328840214208e-10,,5.29926312544211,ARE,,,,,0.235092173417412,,,,,,,,,2016
0.00104423468475146,-1.09150733461402,0.936968780258594,5.37022687653539e-06,0.0339574360822815,0.938201343402605,,3.23382341147137,ATO,-0.293430498915157,0.113650349403273,,,,,,,,,,,,2016
0.000191275784750694,-0.479626642707982,0.394791982596864,3.24519857384295e-05,0.184113492585797,0.742264068639991,,5.12638784082123,ATVI,-0.661379938158924,0.599113149437446,,,,,,,,,,,,2016
0.000203617228542621,,,6.2716747267938e-08,2.92675067967562e-07,0.998999166900855,,17.7887738380329,AVB,,,,,,,,,,,,,,2016
0.00100586048429341,0.941570374416646,-0.999999989961237,4.18129525633448e-05,0.130589672260783,0.73841035171444,,6.21788659902359,AVGO,0.000385192658483496,,,,,,,,,,,,,2016
0.000913585466211748,-0.148776403644489,,4.14660066927202e-05,0.1446307779347,0.628566500059661,,4.16229782046028,AVY,-0.123129155684768,,,,,,,,,,,,,2016
0.00143400547949722,,,1.95788081287935e-07,1.75131591438345e-09,0.998999872130692,,4.1784649385286,AWK,,,,,2.55385082169076e-10,,,,,,,,,2016
0.00149924815852709,-0.813016170527674,0.90243290395742,1.40546702598741e-06,0.00480479175576119,0.989104273491539,,3.52050399672569,AXON,0.101258884581985,,,,,,0.000940310369862842,,,,,,,2016
-0.00426432288069634,0.994980262614172,-1.00224634503808,7.0545240749236e-08,5.65939432417439e-05,0.997791707328548,,3.19569396154205,AXP,,-0.0273579492136168,,,,,,,,,,,,2016
-0.000349434523617419,,,3.61504741424549e-05,0.151140384636458,0.630541558415023,,3.9378237223474,AZO,,,,,,,,,,,,,,2016
0.00130467675663723,,,1.07436715167094e-05,0.11206971011663,0.835760206354013,,4.08865940702309,BA,,,,,,,,,,,,,,2016
0.00140284801527174,-0.932657413553421,1.00820110030987,2.58699092366039e-05,0.162929846849379,0.781904807464449,,5.02659973785903,BAC,,0.11178934428585,,,,,,,,,,,,2016
0.000316520579868397,0.973013304036211,-0.999999905025747,1.37231333425698e-06,6.5279613704976e-09,0.989318759997325,,4.1723116637034,BALL,,,,,,,,,,,,,,2016
0.00120469069528015,0.1971204532675,-0.287631753721151,4.69297266733142e-05,0.262841222432605,0.529298711568624,,3.85545228024051,BAX,,,,,,7.17192663701506e-07,,,,,,,,2016
-6.45922047428883e-05,,,1.66337467114959e-05,0.021399410477303,0.921535551124553,,4.25315845806145,BBWI,,,,,,,,,,,,,,2016
-0.0010719955670894,0.0458651410743731,-0.0902079094713224,4.0347256260799e-06,5.51429768128916e-06,0.986077990592482,,3.97330525788537,BBY,0.942959651509015,-0.971553617833723,,,,,0.000935656500156336,,,,,,,2016
0.000898628238050865,0.777844817284479,-0.83635328221427,1.19856852774517e-05,0.147804819973625,0.774703645738688,,5.10999184094212,BDX,0.00713832588575014,,,,,,-0.0155048176927216,,,,,,,2016
0.000269315271434947,,,9.76364863775831e-13,7.47520678548073e-05,0.998252178744587,,6.38602872382494,BEN,,,,,,,,,,,,,,2016
0.000958345242227383,0.00901677690966383,,3.84899258297392e-05,0.0682930147682904,0.833492199113107,,3.1266778909896,BG,,,,,,,,,,,,,,2016
-0.000995591791109943,,,9.34153186465724e-15,1.8386543121028e-05,0.997703793675543,,4.89088377701051,BIIB,,,,,,,,,,,,,,2016
0.000632442938876153,-0.119388371901218,,1.02284555525895e-11,0.000232455654213733,0.998509946262142,,4.14655071593503,BIO,,,,,,,,,,,,,,2016
0.000373074982636564,0.985874521201921,-0.999999989190571,2.83133829590133e-05,0.163393922331073,0.732537614190271,,4.28678486046341,BK,,,,,,,,,,,,,,2016
0.000679510789176086,0.921548366449691,-0.883067306991128,3.04045733459124e-05,0.328925498251092,0.0598717531077028,,2.1813440899485,BKNG,,-0.114642144346506,0.996427183736009,0.0598717193122531,2.19674167946444e-13,,,,,,,,,2016
0.000540511530183038,-0.306042934727186,0.217559189203813,2.00816111698088e-05,0.20947653422945,0.729382934382237,,4.48282273830307,BLK,,,,,,,,,,,,,,2016
0.000390260244602283,,,3.22778662156277e-06,0.00433190400002866,0.974157508208545,,3.79612743839406,BMY,,,,,,,,,,,,,,2016
0.00126615007287388,-0.0719800199311679,,2.57174355549579e-07,0.000115953304496827,0.99228536591756,,4.70753993697533,BR,,,,,,,,,0.00835340767927729,,,,,2016
0.000527102453714641,-0.23638925340263,,1.74303763316703e-05,0.158208633519209,0.647625877952534,,4.89014821397385,BRK.B,,,,,,,,,,,,,,2016
0.0011349960508701,0.761180635498031,-0.834933145673667,1.70438382831765e-05,0.259734255770525,0.611317942246241,,6.37790912607289,BRO,0.083186495815898,,,,,,0.0056782373838014,,,,,,,2016
0.000799865776855593,0.356128581957911,-0.563114787270852,9.09957856423843e-05,0.380120538467574,0.276852110057995,,3.96249493992783,BSX,,,,,,,,,,,,,,2016
-0.000618005316080739,0.977955682131011,-0.999999989938979,0.000112828287581701,0.165567131626651,0.639732256236636,,4.47818801054334,BWA,,,,,,,,,,,,,,2016
-0.00120334552541411,1.55410486631313,-1.47772632303216,2.4069135268609e-05,0.194717091730549,0.753659591000095,,8.77745008899741,BX,-0.959975784068946,0.898569373663807,,,,,,,,,,,,2016
0.000718169142108108,-0.366826185365474,0.41390360129379,2.01666213537762e-05,0.167593252817876,0.725273773656199,,5.28232818061831,BXP,,,,,,,,,,,,,,2016
0.000819838234029309,,,2.99193970105931e-05,0.268342119885731,0.730657784425766,,3.21530329721938,C,,,,,,,,,,,,,,2016
0.000795793332178669,,,1.18730747786564e-05,0.00381173627366082,0.869655103810094,,5.38899507187825,CAG,,,,,,,,,0.0899174837097854,,,,,2016
0.000410679697653164,-0.18669785670179,,4.34416693204891e-05,0.186632736143752,0.649551363433601,,3.53831726054185,CAH,,,,,,,,,,,,,,2016
0.000669870302756436,,,3.14536612757826e-05,0.132020626036367,0.769845919791684,,4.51828500558396,CAT,,,,,,,,,,,,,,2016
0.00045222757901889,-0.199716405094912,0.0567964133120696,1.16100714013333e-05,0.152378093534388,0.740015742557569,,4.54688558285858,CB,0.301521214207418,-0.343535677737611,,,,,-0.0105468122065944,-0.103785749294231,,,,,,2016
0.000477149627316962,,,2.21320423843092e-13,0.000423620625845551,0.998220324939668,,4.9457094604932,CBOE,,,,,,,,,,,,,,2016
