mu,ar1,ar2,ar3,ma1,omega,alpha1,beta1,eta11,eta21,shape,tick,ar4,ar5,ar6,skew,gamma1,beta2,alpha2,gamma2,ma2,ma3,ma4,ma5,label
4.29665951364835e-05,1.02659906543349,-0.168238883886708,0.119998371766977,-0.999960753936609,1.0428691303803e-12,0.0117608224568483,0.98502070301395,,,6.03533473124725,AMZN,,,,,,,,,,,,,2019
0.00201737231451918,,,,,7.90313865776789e-14,3.02763451126014e-06,0.996826584538271,,,3.21982238390356,ANET,,,,,,,,,,,,,2019
0.00249475843965799,0.524357521294513,-0.0301543282245243,-0.0471445598352998,-0.56633049313687,2.20531909057951e-05,2.76093612484885e-08,0.702883870935884,,,12.4897448167803,ANSS,,,,,,,0.185394680617238,,,,,,2019
0.00191293560147884,,,,-0.218898159034898,5.85232965915963e-12,9.43433726899304e-05,0.998677464779141,,,3.8459461734335,AON,,,,,,,,,,,,,2019
0.00176194315572711,,,,,1.91966231062727e-05,0.0144881432172033,0.837547021995836,,,4.14527000454328,AOS,,,,,,,0.079702802204369,,,,,,2019
0.000637937643744328,,,,,5.91936065869961e-06,0.00685528706896102,0.0502710945052428,,,3.72414918475288,APA,,,,,,0.941873478489611,,,,,,,2019
0.00197560357328406,-0.479859105255843,-0.026578292505495,-0.0629498159887064,0.514092046941401,5.24234544625365e-06,0.104920165168994,0.860796584947137,,,5.76887287121132,APD,,,,,,,,,,,,,2019
0.000298555246450732,1.01527836408362,-0.0422978909224764,0.0125159489568595,-0.947656791873623,1.38379152054138e-06,0.0969555337416828,0.430376324797929,,,5.89588956072086,APH,,,,0.883838428698947,,0.469544506397981,0.000344590345451522,,-0.0804916645648645,,,,2019
0.00184651831334143,,,,,0.000123525748548313,0.0976612891192179,1.22965809348791e-08,,,3.89970949006589,APTV,,,,,,0.61067716074222,,,,,,,2019
0.00178473147176355,-0.093955617211639,,,,6.38116854583917e-06,0.057103643667406,0.876257615920529,,,6.75488192970243,ARE,,,,,,,,,,,,,2019
0.000983912811400985,0.516026227285456,-0.0905257796569064,,-0.600385165356724,2.4063008030548e-08,7.96256864644514e-09,0.998999989804911,,,11.0439599537716,ATO,,,,,,,,,,,,,2019
0.00239298103842731,,,,-0.077344887664379,8.80606072188361e-14,0.0195225803640899,0.975731397093906,,,5.32388321860843,ATVI,,,,,,,,,-0.107113779319616,,,,2019
