mu,ma1,ma2,ma3,omega,alpha1,beta1,shape,tick,ar1,ar2,ar3,eta11,eta21,ma4,ma5,gamma1,alpha2,gamma2,skew,beta2,ar4,ar5,ar6,label
-0.001874110044149,-0.11966076137724,,,4.80909947296254e-05,0.120262456125329,0.854392127473098,4.96480119271007,ADSK,,,,,,,,,,,,,,,,2008
-0.00111892885645229,0.736450534273418,-0.3218370934221,-0.130272298183581,2.60852822827887e-05,0.38461208403512,0.614386889147499,6.46153205431695,AEE,-0.917723613600561,,,,,0.0832566645587515,0.0187803826522788,,,,,,,,,2008
-0.00115221251096445,-0.160662163121626,0.998614363536248,-0.207601877523312,1.35583736449291e-05,1.11391163565029e-11,0.855804193462065,12.8265228189125,AEP,-0.0327602458118839,-1.01356007765659,,,,,,0.221293114878833,,,,,,,,2008
-0.0010875454411875,0.814302090965082,-0.0519186831765607,-0.0832425642237684,3.25283061794289e-05,0.156520943215125,0.842478923485029,3.96327195118064,AES,-0.877836173934034,,,,,,,,,,,,,,,2008
-0.000102965368179692,-0.172967675446338,-0.143994305443203,,2.69309637552554e-05,0.156044715560259,0.842955140556244,3.14043506563057,AFL,,,,,,,,,,,,,,,,2008
-0.0119850817607287,-1.73284791656123,0.975773802646539,,0.000522155939228136,4.05057779301405e-09,0.550372940418501,3.72269782381617,AIG,1.71226281305454,-0.941513346662794,,,,,,0.472729980450316,0.362497735564277,-0.272060961430697,0.723548408228296,,,,,2008
-0.000161058037404742,0.389272959593398,-0.523352278097407,,1.79218072728327e-05,2.45529616200516e-08,0.822645592115479,6.28013206681163,AIZ,-0.565553935303854,0.339948326146204,,,,,,,0.176354384488023,,,,,,,2008
0.00044282211575849,-0.668450664904073,,,1.10143530927528e-05,0.0499088946867589,0.927568901337584,4.90691909129091,AJG,0.466958430616246,,,,,,,,,,,,,,,2008
-0.00267321310304376,,,,2.42590408192039e-06,0.0272050323299095,0.971794963336738,4.53114628522052,AKAM,,,,,,,,,,,,,,,,2008
-0.000419415840954699,-0.058339378339406,-0.0469163664886577,0.0370603559324326,1.60547342039104e-05,0.110997554941897,0.887508973808476,7.26735983252733,ALB,,,,,,,,,,,,,,,,2008
-0.00371892538748118,,,,6.79391902125396e-06,4.58867725355573e-09,0.998999971531281,3.39576135773144,ALGN,,,,,,,,,4.11857506888713e-09,,,,,,,2008
-0.00166955403277696,,,,0.000270706062798431,0.0656421874504579,0.720596851572577,8.88079673832033,ALK,,,,,,,,0.32904626207675,,,,,,,,2008
-0.000542177458634083,,,,2.00829212331054e-05,0.227143908383893,0.771856059809951,6.37933474414519,ALL,,,,,,,,,,,,,,,,2008
-0.00104457087794948,-0.127375653294589,,,2.93065257063149e-05,0.0950559825128219,0.880548099420885,6.08061638132002,AMAT,,,,,,,,,,,,,,,,2008
-0.00153047041376028,-0.0512391338057064,,,6.64208807959024e-05,0.119923750981778,0.859517371647482,8.81567752604522,AMD,,,,,,,,,,,,,,,,2008
-0.000372493666247792,0.475491497425626,,,1.23055718319098e-05,0.085760609426209,0.902677107288417,7.10661258366233,AME,-0.500979274734381,-0.115004246390301,,,,,,,,,,,,,,2008
0.00062535080367898,,,,4.8667113323594e-05,0.295379992913363,0.703618620447754,3.15149410827355,AMGN,-0.11922239353093,-0.0996929389497554,0.00400572723791738,,,,,,,,,,,,,2008
-0.00183515170209003,-0.360572328773914,-0.16121102192902,,2.71087183674098e-05,0.127271758048003,0.871728205908179,7.69258629126432,AMP,0.261222875399002,,,,,,,,,,,,,,,2008
0.000201216589114417,-0.735422468324899,0.0733544979096956,0.0621780629616953,3.09181643209297e-05,0.0549801216178852,0.758180003738763,99.9413992324842,AMT,0.589416712291234,,,,,-0.141590036091111,,,0.164483736265638,,,,,,,2008
-0.00178412040133221,,,,4.11829322231188e-05,0.0725136535240993,0.904249964391111,8.58561923334185,AMZN,,,,,,,,,,,,,,,,2008
-0.000481193360358172,,,,3.70198659096241e-05,0.11579495719526,0.858087558685514,10.7298423968572,ANSS,,,,,,,,,2.73108277384179e-07,,,,,,,2008
0.000270667088870731,,,,1.54772654730006e-05,0.12648662047086,0.842691131438764,17.6198257675221,AON,-0.186464757076369,,,,,,,,,,,,,,,2008
0.000360435253953155,,,,8.73640846059684e-05,0.210544539011977,0.728946380452703,17.379048880961,AOS,,,,,,,,,,,,,,,,2008
0.000904408755064741,-0.154046254586023,-0.07825971591615,0.0167645449076575,4.08835136908401e-05,0.109867110844419,0.868034828454448,22.0713760388231,APA,,,,,,,,,,,,,,,,2008
