mu,omega,alpha1,beta1,shape,tick,gamma1,ar1,ar2,ar3,alpha2,skew,beta2,gamma2,ma1,ma2,eta11,eta21,ma3,ar4,ma4,ar5,label
0.00384262267340454,2.36079447372916e-05,9.7243870681529e-11,0.960635193570879,3.70429582786892,AMD,,0.240951850042208,0.0389992405320731,,,,,,-0.25348175288388,,,,,,,,2005
0.00101036439376033,6.09608448570735e-08,1.66079869281151e-09,0.998999986566783,5.50118933767837,AME,,,,,,,,,,,,,,,,,2005
-0.000382337320180669,2.93387628487984e-07,0.004606817060396,0.99439289950209,3.57616976093414,AMGN,,,,,,,,,,,,,,,,,2005
0.00154165673697583,1.49892117024505e-07,1.24438596990289e-07,0.995457240445278,27.7361551516659,AMT,,1.13836586437812,-0.868273588245472,,1.32355552035977e-07,,0.00354223341634079,,-1.13359972995174,0.80974380533733,,,,,,,2005
0.00104737211622186,1.50376230532174e-05,5.29847982232768e-17,0.954577133791175,3.5375197959138,AMZN,,,,,,1.20838792873766,,,0.0922332804382284,,,,,,,,2005
0.000177671124108172,0.000319804796719378,0.110298090990414,1.59308555545067e-12,4.6409767604291,ANSS,0.147690016082973,,,,,,0.134647962193194,,,,,,,,,,2005
-0.000679528546553174,2.43369975475113e-07,0.00134339145833187,0.99345228697791,3.17095647845992,AON,,,,,,,,,,,,,,,,,2005
0.000858455636402045,7.05233096217376e-07,1.17480555153952e-08,0.998999964624593,3.22075545501544,AOS,,,,,,,,,,,,,,,,,2005
0.00186665098782687,3.45581214228631e-05,0.0534986772724314,0.861575905120356,30.7503297278121,APA,,0.0261707938918254,,,1.0443118365978e-11,,,,,,,,,,,,2005
0.000118883551949283,9.85827721349469e-05,0.163716699222062,4.88050420713939e-11,18.2895318611877,APD,,,,,0.0805278541156587,,0.00139959237530363,,,,,,,,,,2005
0.00040639350413628,4.56916388791395e-07,8.4062849816724e-05,0.997022871303422,5.45823314801767,APH,,,,,,,,,,,,,,,,,2005
0.000430662423895704,5.43805377298759e-08,1.68485817358681e-08,0.998999949345477,7.1184636053118,ARE,,0.221231658282601,,,,1.08403079623082,,,-0.183564719291175,,,,,,,,2005
0.00010913597451065,9.57688000664402e-08,0.106674549921576,0.643968050717977,20.5290246096604,ATO,,-0.145343286332397,,,,,,,,,0.998965400978684,0.00601088072974282,,,,,2005
0.000765320170581284,7.54641485285567e-07,1.42482364246598e-10,0.998999793124529,4.12165174736777,ATVI,,,,,,,,,,,,,,,,,2005
0.000865200563206723,4.58613017788394e-14,0.000140057984758597,0.998811927895944,6.14876770333573,AVB,,0.987531949505302,,,,,,,-0.999954467578928,,,,,,,,2005
-0.000377689066429089,2.3351827311915e-13,0.000174288106604945,0.996011175755925,3.67189987541685,AVY,,,,,,,,,,,,,,,,,2005
-0.00860719300723358,0.000365566932381273,0.396654847837582,0.229713997496467,2.54907606410286,AXON,,,,,,,0.372631142849943,,,,,,,,,,2005
-0.000109797354726563,4.57669015524073e-06,0.0332952936980754,0.925285793144245,5.02038478188436,AXP,,,,,,,,,,,,,,,,,2005
0.000169347021687059,9.75344619048638e-07,8.92189420829262e-08,0.998999084587562,2.7393161278741,AZO,,,,,,,,,,,,,,,,,2005
0.00101260564095565,1.72065693070114e-05,2.29849009848974e-08,0.77966100364773,10.526526488813,BA,0.296325608318322,-0.341263741318354,0.154933380167197,,5.75758134752845e-11,,,-0.0405009937419044,,,,,,,,,2005
6.10648151111134e-05,1.70601719710276e-08,3.37879764416485e-07,0.998999232540792,14.2823439249955,BAC,,-0.257204161309307,,,3.30599651884574e-07,,,,0.212886503262204,,,,,,,,2005
-0.000478928542482004,1.72498575474143e-05,0.0774974950607907,0.825370550348276,5.88019492034725,BALL,,-0.664707092696151,,,,,,,0.588619067294865,,,,,,,,2005
0.000121877300731428,8.08353977318459e-05,0.20318701515056,0.0826349320360559,6.41289573965254,BAX,,,,,2.81864972154964e-07,,,,,,,,,,,,2005
-0.000310966654735429,5.51897321988982e-07,1.5526592413493e-06,0.469196858686196,5.00626871940525,BBWI,,,,,,,0.529798538226797,,,,,,,,,,2005
0.000949668992030623,2.22231442380416e-06,1.96881130861676e-10,0.998999998764802,2.79782337943323,BBY,,,,,,,,,,,,,,,,,2005
-0.000634233219812485,4.02297771866773e-07,0.162947436804053,0.00886739139471871,4.97021408391311,BDX,,0.0534231103873203,,,,,,,,,0.996080249120457,0.000119504970343091,,,,,2005
