mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ma1,ma2,alpha2,beta2,gamma1,ma3,skew,ar3,gamma2,ar4,eta11,eta21,ma4,ma5,label
0.000550011758125599,6.14582711172473e-05,2.53220853823754e-16,0.762433502245204,30.8098102813347,APA,,,,,0.0733676671574086,1.1635078050286e-07,,,,,,,,,,,2002
9.7971985434573e-05,2.9566356486341e-05,0.138682973621173,0.801858824814217,80.0005462806802,APD,,,-0.139214615313978,,,,,,,,,,,,,,2002
-0.00275227751251355,3.90517186522622e-05,0.188603471749585,0.252356967891655,7.06519468867538,APH,,,,,,0.51359625153372,,,,,,,,,,,2002
0.000854042950957753,1.93049723422575e-05,0.253627842306309,0.632478416160923,7.65508632091997,ARE,,,,,,,,,,,,,,,,,2002
0.000466303398070244,2.16198531252038e-05,0.191238812171235,0.525238390416298,9.17534847540704,ATO,,,-0.274962204940824,,,0.218511412906332,,,,,,,,,,,2002
-0.00180263576596935,2.55872630963932e-05,0.0379624657207933,2.58068071559349e-07,4.13362546714587,ATVI,,,,,4.24816886190008e-10,0.957378556095754,-0.0431863891129186,,,,0.0505034876978962,,,,,,2002
-0.000430409576811154,5.94513331447815e-05,0.438452334000575,0.046548025815526,7.608688243199,AVB,,,0.101772839288643,,,,,,,,,,,,,,2002
-0.000669904320225197,3.94663084775196e-05,2.21808846980841e-11,0.781652225171038,10.552965086451,AVY,,,,,,,0.291464058130217,,,,,,,,,,2002
-0.00452018130441547,4.94443034528106e-05,4.43167759519422e-09,0.988434255344562,2.65129090954971,AXON,,,0.0210845970405998,,,,,,,,,,,,,,2002
-0.000220241008035893,3.84173139201249e-05,0.119031067516867,0.829940295150015,19.4851028538955,AXP,,,,,,,,,,,,,,,,,2002
-4.71649024666241e-05,0.00016784129665607,0.256666798545286,0.415972851767942,7.1830016604422,AZO,0.0625714013442785,-0.112786372829374,,,,3.33255459408548e-07,,,0.952427494953194,,,,,,,,2002
0.000265371831516399,2.85567751308522e-05,0.0861905891371916,0.866953930096191,20.5687687782992,BA,,,,,,,,,,,,,,,,,2002
0.00101237236455526,2.35030492245038e-05,0.141420779069798,0.803834197920924,8.9000320933679,BAC,,,,,,,,,,,,,,,,,2002
0.00180080299411609,8.12639256824196e-05,0.172812620001485,0.692716156121217,7.79507628081006,BALL,,,,,,,,,,,,,,,,,2002
-0.000989303939840368,2.8773085522904e-05,0.11234434049014,0.871765769097422,3.35381897648114,BAX,,,,,,,,,,,,,,,,,2002
6.53610698252493e-05,7.25824266801093e-05,0.124407980147535,0.800567276837646,99.9982398459339,BBWI,,,,,,,,,,,,,,,,,2002
-0.00263208893404948,7.93525132362612e-05,0.201839950212088,0.771278430829943,5.12818430375038,BBY,1.58005668959303,-0.897232508586281,-1.6880667918732,0.992144521964698,,,,,,0.0897536760908745,,-0.0817122158124663,,,,,2002
0.000496696545332775,1.77515449980778e-05,0.124179913573072,0.817675273846587,6.59843198536924,BDX,,,,,,,,,,,,,,,,,2002
0.00012198564494444,2.91331935549073e-05,0.113303948752547,0.828587000492056,39.8401808997564,BEN,,,,,,,,,,,,,,,,,2002
0.00110190582591574,4.20058962516544e-07,0.0160061899127995,0.725844089566988,3.85723208514089,BG,,,,,,,,,,,,,0.999368747702765,0.000301170045264787,,,2002
-0.00317089602043628,6.56646792542104e-05,0.0563307585492575,0.901303662893278,12.2011495217254,BIIB,,,,,,,,,,,,,,,,,2002
0.000224197383423462,4.57309819810299e-06,0.0365512473685848,0.962448749619285,3.96115608623675,BIO,,,,,,,,,,,,,,,,,2002
-0.00283596438461319,0.000601786629382278,1.13599613013059e-12,0.144722765703768,3.20204813247319,BK,,,,,,,0.807871526474609,,,,,,,,,,2002
