mu,ar1,ar2,ma1,ma2,omega,alpha1,beta1,shape,tick,skew,beta2,alpha2,gamma1,gamma2,ma3,ma4,ar3,eta11,eta21,ar4,ar5,ar6,label
0.00124634516333581,1.18577635906088,-1.1123329310299,-1.2506525051208,1.07090326225844,0.000115124291016083,3.65198342078656e-17,0.572725714184889,2.5008856157216,APTV,,,,0.646768598182539,,-0.0335275832859833,-0.113376621940985,0.0983719616136038,,,,,,2017
0.000756148978810465,0.0406767399328761,-0.0269678747390555,,,1.19430239491847e-07,0.000298508469949577,0.999904301498642,12.6731735654784,ARE,,,0.0101108509577362,0.377480389918443,-0.400127919277485,,,,,,,,,2017
0.000828324670393213,,,-0.0779370729368559,,4.52006999487837e-08,8.41600707995141e-07,0.998998759041361,9.79752863148551,ATO,,,,,,,,,,,,,,2017
0.00258815327625184,0.546815554681599,,-0.690662490724411,,3.0067661945629e-06,1.76000387962724e-10,0.998999942806997,2.34544098818875,ATVI,,,,,,,,,,,,,,2017
0.00012808954794829,,,-0.117892993526538,,1.80683866500469e-07,0.0593761376221023,0.567062380773967,4.24360354544215,AVB,,,,,,,,,0.997209663489294,0.000181460379456107,,,,2017
0.00156215879497712,,,,,6.29182635401538e-05,0.024190081779386,0.623793538542912,4.41629991519152,AVGO,,,0.0939176036905699,,,,,,,,,,,2017
0.00202940771900418,0.903403478485406,0.0515901240975016,-0.999999885975668,,9.66991604285074e-08,5.25550851175939e-10,0.998999896750046,3.36672416196352,AVY,,,,,,,,,,,,,,2017
0.00151801363251714,,,,,9.21278214021255e-11,0.000176589302603322,0.0407464548630437,5.80519093016961,AWK,,0.95807348588967,,,,,,,,,,,,2017
0.00124019930130004,0.131700488327767,,,,3.21612834879954e-07,4.17205483493877e-08,0.998999842533147,4.27698075444067,AXON,,,,,,,,,,,,,,2017
0.000905800158332236,-0.031172896113456,-0.0244847060150701,,,3.2320739236057e-08,4.66779344345891e-06,0.99883595020848,4.18930480377975,AXP,,,,,,,,,,,,,,2017
-0.000567101984476251,-0.867783672970507,,0.90338321017529,-0.0805653738092603,3.1586224345801e-05,0.0134577116602888,0.985542259247787,2.10000030770739,AZO,,,,,,,,,,,,,,2017
0.00222482110705078,,,,,2.47992421676868e-07,0.00316690659644646,0.99328066082894,4.39571624592668,BA,,,,,,,,,,,,,,2017
0.00156759936250423,,,,,2.13312726067513e-08,0.000382965775793925,0.998617024415808,5.03215430391752,BAC,1.22926399079469,,,,,,,,,,,,,2017
